"","happiness_score","country","density","agricultural_land","land_area","armed_forces","birth_rate","carbon_emissions","cpi","cpi_change","fertility_rate","forested_area","gasoline_price","gdp","primary_edu_enrollment","tertiary_edu_enrollment","infant_mortality","life_expectancy","maternal_mortality","minimum_wage","pocket_health_expenditure","physicians_per_thousand","population","labor_force","tax_revenue","total_tax","unemployment_rate","urban_population","latitude","longitude"
"65",5.111,"Laos",32,10.3,236800,129000,23.55,17763,135.87,3.3,2.67,82.1,0.93,18173839128,102.4,15,37.6,67.6,185,0.83,45.4,0.37,7169455,78.5,12.9,"24.10",0.63,2555552,19.85627,102.495496
"66",6.213,"Latvia",30,31.1,64589,6000,10,7004,116.86,2.8,1.6,54,1.16,34117202555,99.4,88.1,3.3,74.7,19,2.8,41.6,3.19,1912789,61.4,22.9,"38.10",6.52,1304943,56.879635,24.603189
"67",2.392,"Lebanon",667,64.3,10400,80000,17.55,24796,130.02,3,2.09,13.4,0.74,53367042272,95.1,26.3,6.4,78.9,29,2.15,32.1,2.1,6855713,47,15.3,"32.20",6.23,6084994,33.854721,35.862285
"68",4.042,"Liberia",53,28,111369,2000,33.04,1386,223.13,23.6,4.32,43.1,0.8,3070518100,85.1,11.9,53.5,63.7,661,0.17,19.6,0.04,4937374,76.3,12.9,"46.20",2.81,2548426,6.428055,-9.429499
"69",6.763,"Lithuania",43,47.2,65300,34000,10,12963,118.38,2.3,1.63,34.8,1.16,54219315600,103.9,72.4,3.3,75.7,8,2.41,32.1,6.35,2786844,61.6,16.9,"42.60",6.35,1891013,55.169438,23.881275
"70",7.228,"Luxembourg",242,53.7,2586,2000,10.3,8988,115.09,1.7,1.37,35.7,1.19,71104919108,102.3,19.2,1.9,82.1,5,13.05,10.6,3.01,645397,59.3,26.5,"20.40",5.36,565488,49.815273,6.129583
"71",4.019,"Madagascar",48,71.2,587041,22000,32.66,3905,184.33,5.6,4.08,21.4,1.11,14083906357,142.5,5.4,38.2,66.7,335,0.21,21.7,0.18,26969307,86.1,10.2,"38.30",1.76,10210849,-18.766947,46.869107
"72",3.495,"Malawi",203,61.4,118484,15000,34.12,1298,418.34,9.4,4.21,33.2,1.15,7666704427,142.5,0.8,35.3,63.8,349,0.12,11,0.04,18628747,76.7,17.3,"34.50",5.65,3199301,-13.254308,34.301525
"73",6.012,"Malaysia",99,26.3,329847,136000,16.75,248289,121.46,0.7,2,67.6,0.45,364701517788,105.3,45.1,6.7,76,29,0.93,36.7,1.51,32447385,64.3,12,"38.70",3.32,24475766,4.210484,101.975766
"74",4.198,"Mali",17,33.8,1240192,18000,41.54,3179,108.73,-1.7,5.88,3.8,1.12,17510141171,75.6,4.5,62,58.9,562,0.23,46.3,0.13,19658031,70.8,11.6,"54.50",7.22,8479688,17.570692,-3.996166
"75",6.3,"Malta",1380,32.4,316,2000,9.2,1342,113.45,1.6,1.23,1.1,1.36,14786156563,105,54.3,6.1,82.3,6,5.07,37.1,2.86,502653,56.5,26.2,"44.00",3.47,475902,35.937496,14.375416
"76",4.724,"Mauritania",5,38.5,1030700,21000,33.69,2739,135.02,2.3,4.56,0.2,1.13,7593752450,99.9,5,51.5,64.7,766,0.53,48.2,0.19,4525696,45.9,NA,"67.00",9.55,2466821,21.00789,-10.940835
"77",5.902,"Mauritius",626,42.4,2040,3000,10.2,4349,129.91,0.4,1.41,19,1.12,14180444557,101.1,40.6,13.6,74.4,61,0.38,50.7,2.53,1265711,58.3,19.1,"22.20",6.67,515980,-20.348404,57.552152
"78",6.33,"Mexico",66,54.6,1964375,336000,17.6,486406,141.54,3.6,2.13,33.9,0.73,1258286717125,105.8,40.2,11,75,33,0.49,41.4,2.38,126014024,60.7,13.1,"55.10",3.42,102626859,23.634501,-102.552784
"79",5.819,"Moldova",123,74.2,33851,7000,10.1,5115,166.2,4.8,1.26,12.6,0.8,11955435457,90.6,39.8,13.6,71.8,19,0.31,46.2,3.21,2657637,43.1,17.7,"38.70",5.47,1135502,47.411631,28.369885
"80",5.84,"Mongolia",2,71.5,1564116,18000,24.13,25368,195.76,7.3,2.9,8,0.72,13852850259,104,65.6,14,69.7,45,0.65,39.3,2.86,3225167,59.7,16.8,"25.70",6.01,2210626,46.862496,103.846656
"81",5.722,"Montenegro",47,19,13812,12000,11.73,2017,116.32,2.6,1.75,61.5,1.16,5494736901,100,56.1,2.3,76.8,6,1.23,31.8,2.76,622137,54.4,NA,"22.20",14.88,417765,42.708678,19.37439
"82",4.903,"Morocco",83,68.5,446550,246000,18.94,61276,111.07,0.2,2.42,12.6,0.99,118725279596,113.9,35.9,19.2,76.5,70,1.6,53.1,0.73,36910560,45.3,21.9,"45.80",9.02,22975026,31.791702,-7.09262
